,NousResearch/Hermes-3-Llama-3.1-8B
NER,entity f1: 0
FINER-ORD,entity_f1: 0.0509; f1: 0.1901
,
,
FinRED,precision: 0.0012; recall: 0.0141; f1: 0.0023
,
,
SC,acc: 0.8443 ± 0.0039; missing: 0.0001 ± 0.0001; f1: 0.8653; macro_f1: 0.5469; mcc: 0.1082
,
,
CD,entity_f1: 0.000; f1: 0.009
,
,
FNXL,entity_f1: 0.0000; f1: 0.1743
,
,
FSRL,entity_f1: 0.0232; f1: 0.1224
,
,
FPB,acc: 0.4021 ± 0.0158; missing: 0.0000 ± 0.0000; f1: 0.3051; macro_f1: 0.4575; mcc: 0.3127
,
,
FiQA-SA,acc: 0.6851 ± 0.0304; missing: 0.0000 ± 0.0000; f1: 0.6810; macro_f1: 0.5576; mcc: 0.5116
,
,
TSA,rmse: 0.5597; missing: 0.0000 ± 0
,
,
Headlines,avg_f1: 0.5995
,
,
FOMC,acc: 0.4677 ± 0.0224; missing: 0.0000 ± 0.0000; f1: 0.4586; macro_f1: 0.4541; mcc: 0.2482
,
,
FinArg-AUC,acc: 0.5397 ± 0.016; missing: 0.0000 ± 0.000; f1: 0.4669; macro_f1: 0.4566; mcc: 0.0647
FinArg-ARC,acc: 0.6391 ± 0.0183; missing: 0.0000 ± 0.0000; f1: 0.6024; macro_f1: 0.3694; mcc: 0.0355
MultiFin,acc: 0.4505 ± 0.0213; missing: 0.0000 ± 0.0000; f1: 0.4373; macro_f1: 0.4328; mcc: 0.3431
MA,acc: 0.7960 ± 0.018; missing: 0.0000 ± 0.000; f1: 0.7922; macro_f1: 0.7922; mcc: 0.6152
MLESG,acc: 0.3933 ±  0.0283; missing: 0.0033 ± 0.0033; f1: 0.3499; macro_f1: 0.3151; mcc: 0.3696
FinQA,acc: 0 ± 0
TATQA,acc: 0 ± 0
Regulations,Not Done Yet
ConvFinQA,acc: 0 ± 0
EDTSUM,rouge1: 0.2147; rouge2: 0.1015; rougeL: 0.1675; bert_score_f1: 0.6580
ECTSUM,rouge1: 0; rouge2: 0; rougeL: 0; bert_score_f1: 0
BigData22,acc: 0.5217 ± 0.013; missing: 0.0000 ± 0.000; f1: 0.5155; macro_f1: 0.5063; mcc: 0.0181
ACL18,acc: 0.5062 ± 0.0082; missing: 0.0000 ± 0.0000; f1: 0.4724; macro_f1: 0.4688; mcc: -0.0008
CIKM18,acc: 0.5556 ± 0.0147; missing: 0.0000 ± 0.0000; f1: 0.5018; macro_f1: 0.4665; mcc: 0.0068
German,acc: 0.3300 ± 0.0333; missing: 0.0000 ± 0.0000; f1: 0.1931; macro_f1: 0.2637; mcc: -0.1228
Australian,acc: 0.4101 ± 0.0419; missing: 0.0000 ± 0.0000; f1: 0.4045; macro_f1: 0.4086; mcc: -0.1532
LendingClub,acc: 0.5522 ± 0.0096; missing: 0.0000 ± 0.0000; f1: 0.5994; macro_f1: 0.5036; mcc: 0.1254
ccf,acc: 0.2685 ± 0.0093; missing: 0.0000 ± 0.0000; f1: 0.4216; macro_f1: 0.212; mcc: 0.0219
ccfraud,acc: 0.7183 ± 0.0098; missing: 0.0000 ± 0.0000; f1: 0.7894; macro_f1: 0.4545; mcc: -0.0295
polish,acc: 0.9488 ± 0.0053; missing: 0.0000 ± 0.0000; f1: 0.9238; macro_f1: 0.4869; mcc: 0.0000
taiwan,acc: 0.9678 ± 0.0048; missing: 0.0000 ± 0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
portoseguro,acc: 0.4362 ± 0.0102; missing: 0.0000 ± 0.0000; f1: 0.5813; macro_f1: 0.3282; mcc: 0.0052
travelinsurance,acc: 0.0150 ± 0.0024; missing: 0.0000 ± 0.0000; f1: 0.0004; macro_f1: 0.0148; mcc: 0.0000
ES_FinanceES,acc: 0.2082 ± 0.0051; missing: 0.0687 ± 0.0032; f1: 0.2132; macro_f1: 0.1979; mcc: -0.3447
ES_Multifin,acc: 0.4304 ± 0.0327; missing: 0.0087 ± 0.0061; f1: 0.4249; macro_f1: 0.4207; mcc: 0.3056
ES_EFP,acc: 0.2703 ± 0.074; missing: 0.0000 ± 0.000; f1: 0.1150; macro_f1: 0.1418; mcc: 0.0000
ES_EFPA,acc: 0.2588 ± 0.0291; missing: 0.0000 ± 0.0000|; f1: 0.1122; macro_f1: 0.1091; mcc: 0.0522
ES_FNS,rouge1: 0.1068; rouge2: 0.0219; rougeL: 0.0735; bert_score_f1: 0.5261
ES_TSA,acc: 0.2721 ± 0.0072; missing: 0.5863 ± 0.0080; f1: 0.3923; macro_f1: 0.2961; mcc: 0.1408
