,baichuan-inc/Baichuan-7B
NER,entity_f1: 0
FINER-ORD,entity_f1: 0; f1: 0
,
,
FinRED,precision: 0; recall: 0; f1: 0
,
,
SC,acc: 0.6197 +- 0.0052; missing: 0.1752 +- 0.0041; f1: 0.7240; macro_f1: 0.4423; mcc: 0.0243
,
,
CD,entity_f1: 0; f1: 0
,
,
FNXL,entity_f1: 0; f1: 0
,
,
FSRL,entity_f1: 0; f1: 0
,
,
FPB,acc: 0.2227 +- 0.0134; missing: 0.0196 +- 0.0045; f1: 0.1716; macro_f1: 0.2168; mcc: 0.0316
,
,
FiQA-SA,acc: 0.3617 +- 0.0314; missing: 0.0043 +- 0.0043; f1: 0.3225; macro_f1: 0.2705; mcc: -0.0187
,
,
TSA,rmse: 0.6648; missing: 0.1783 +- 0.0162
,
,
Headlines,Not Done Yet
,
,
FOMC,acc: 0.2581 +- 0.0197; missing: 0.0020 +- 0.0020; f1: 0.1737; macro_f1: 0.2288; mcc: 0.0094
,
,
FinArg-AUC,acc: 0.4376 +- 0.0159; missing: 0.1589 +- 0.0118; f1: 0.3747; macro_f1: 0.3615; mcc: -0.0010
FinArg-ARC,acc: 0.4159 +- 0.0188; missing: 0.0000 +- 0.0000; f1: 0.4340; macro_f1: 0.2747; mcc: -0.0804
MultiFin,acc: 0.2381 +- 0.0182; missing: 0.0696 +- 0.0109; f1: 0.1401; macro_f1: 0.1233; mcc: 0.1140
MA,acc: 0.5020 +- 0.0224; missing: 0.0000 +- 0.0000; f1: 0.3378; macro_f1: 0.3378; mcc: 0.0448
MLESG,Not Done Yet
FinQA,Not Done Yet
TATQA,Not Done Yet
Regulations,Not Done Yet
ConvFinQA,Not Done Yet
EDTSUM,Not Done Yet
ECTSUM,Not Done Yet
BigData22,Not Done Yet
ACL18,Not Done Yet
CIKM18,Not Done Yet
German,Not Done Yet
Australian,Not Done Yet
LendingClub,Not Done Yet
ccf,Not Done Yet
ccfraud,Not Done Yet
polish,Not Done Yet
taiwan,Not Done Yet
portoseguro,Not Done Yet
travelinsurance,Not Done Yet
